cell_id,frame_id,num_groups,peaks,counts,n_points
233,0,1,10.024893,3,3
233,1,1,10.024847,7,7
233,2,1,10.024870,3,3
233,3,1,10.024802,4,4
233,4,1,10.024734,5,5
233,5,1,10.024711,6,6
233,6,1,10.024893,3,3
233,7,1,10.024893,4,4
233,8,1,10.024847,7,7
233,9,1,10.024847,4,4
234,0,1,10.023970,5,5
234,1,1,10.024014,10,10
234,2,1,10.023838,3,3
234,3,1,10.023882,8,8
234,4,1,10.024036,6,6
234,5,1,10.023970,6,6
234,6,1,10.024058,7,7
234,7,1,10.024014,7,7
234,8,1,10.023948,5,5
234,9,1,10.023816,3,3
235,0,1,10.023188,7,7
235,1,1,10.023167,8,8
235,2,1,10.023040,4,4
235,3,1,10.023209,4,4
235,4,1,10.023082,3,3
235,5,1,10.023167,5,5
235,6,1,10.023188,6,6
235,7,1,10.023273,2,2
235,8,1,10.022913,3,3
235,9,1,10.023167,7,7
236,0,1,10.022271,7,7
236,1,1,10.022393,4,4
236,2,1,10.022434,4,4
236,3,1,10.022352,5,5
236,4,1,10.022332,4,4
236,5,1,10.022413,9,9
236,6,1,10.022352,4,4
236,7,1,10.022393,5,5
236,8,1,10.022352,3,3
236,9,1,10.022413,4,4
237,0,1,10.021628,6,6
237,1,1,10.021628,8,8
237,2,1,10.021492,4,4
237,3,1,10.021570,5,5
237,4,1,10.021628,3,3
237,5,1,10.021550,5,5
237,6,1,10.021550,4,4
237,7,1,10.021746,2,2
237,8,1,10.021609,3,3
237,9,1,10.021550,6,6
238,0,1,10.020913,5,5
238,1,1,10.020876,6,6
238,2,1,10.020913,5,5
238,3,1,10.020969,4,4
238,4,1,10.020782,6,6
238,5,1,10.020894,7,7
238,6,1,10.020782,4,4
238,7,1,10.020782,4,4
238,8,1,10.020913,7,7
238,9,1,10.020857,4,4
239,0,1,10.020191,5,5
239,1,1,10.020173,4,4
239,2,1,10.020155,5,5
239,3,1,10.020209,7,7
239,4,1,10.020119,7,7
239,5,1,10.020173,5,5
239,6,1,10.020191,6,6
239,7,1,10.020191,5,5
239,8,1,10.020137,4,4
239,9,1,10.020137,3,3
240,0,1,10.019467,7,7
240,1,1,10.019484,4,4
240,2,1,10.019518,5,5
240,3,1,10.019518,4,4
240,4,1,10.019536,6,6
240,5,1,10.019399,3,3
240,6,1,10.019553,5,5
240,7,1,10.019484,3,3
240,8,1,10.019296,2,2
240,9,1,10.019518,5,5
241,0,1,10.018860,3,3
